,Id,LotArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,GarageArea,SalesPricePredicated
0,1461,11622,0,0,1,0,2,730.0,112607
1,1462,14267,0,0,1,1,3,312.0,145551
2,1463,13830,0,0,2,1,3,482.0,224696
3,1464,9978,0,0,2,1,3,470.0,219827
4,1465,5005,0,0,2,0,2,506.0,183941
5,1466,10000,0,0,2,1,3,440.0,219855
6,1467,7980,1,0,2,0,3,420.0,217866
7,1468,8402,0,0,2,1,3,393.0,217835
8,1469,10176,1,0,1,1,2,506.0,184101
9,1470,8400,1,0,1,0,2,525.0,145477
10,1471,5858,1,0,2,0,2,511.0,221961
11,1472,1680,0,0,1,1,2,264.0,136420
12,1473,1680,0,0,1,1,3,320.0,129643
13,1474,2280,0,0,2,1,3,440.0,210098
14,1475,2280,0,0,1,0,2,308.0,100800
15,1476,12858,0,0,2,1,3,751.0,223467
16,1477,12883,0,0,2,0,3,868.0,187120
17,1478,11520,0,0,2,0,3,730.0,185397
18,1479,14122,0,0,2,0,3,678.0,188686
19,1480,14300,1,0,2,1,3,958.0,262232
20,1481,13650,1,0,2,1,3,756.0,261411
21,1482,7132,0,0,2,0,2,484.0,186629
22,1483,18494,0,0,2,0,3,430.0,194211
23,1484,3203,0,0,2,0,2,437.0,181663
24,1485,13300,1,0,2,1,3,400.0,260969
25,1486,8577,0,0,2,1,3,433.0,218056
26,1487,17433,0,0,2,1,4,962.0,222472
27,1488,8987,0,0,2,0,2,880.0,188973
28,1489,9215,0,0,2,0,2,676.0,189261
29,1490,10440,1,0,2,0,2,528.0,227752
30,1491,11920,0,0,2,1,3,484.0,222282
31,1492,9800,0,0,1,0,2,429.0,110304
32,1493,15410,1,0,2,0,3,461.0,227256
33,1494,13143,1,0,2,1,4,762.0,253993
34,1495,11134,1,0,2,1,4,713.0,251453
35,1496,4835,1,0,2,0,2,506.0,220669
36,1497,3515,0,0,2,1,2,588.0,218436
37,1498,3215,0,0,2,1,2,480.0,218057
38,1499,2544,1,0,2,1,2,480.0,254152
39,1500,2544,1,0,2,1,2,480.0,254152
40,1501,2980,1,0,2,1,2,440.0,254703
41,1502,2403,0,0,2,1,2,496.0,217031
42,1503,12853,1,0,1,1,1,852.0,194262
43,1504,7379,1,0,2,1,3,592.0,253485
44,1505,8000,1,0,2,0,3,596.0,217891
45,1506,10456,1,0,2,0,4,535.0,214218
46,1507,10791,1,0,2,1,4,660.0,251020
47,1508,18837,0,1,3,0,3,678.0,290123
48,1509,9600,0,0,1,2,4,441.0,169254
49,1510,9600,1,0,1,1,3,490.0,176595
50,1511,9900,1,0,1,0,3,504.0,140596
51,1512,9680,1,0,2,0,3,517.0,220014
52,1513,10600,0,0,2,0,3,480.0,184234
53,1514,13260,2,0,2,0,6,0.0,241149
54,1515,9724,0,0,2,0,3,400.0,183127
55,1516,17360,0,0,2,0,3,470.0,192778
56,1517,11380,1,0,1,0,2,315.0,149244
57,1518,8267,0,0,2,0,4,576.0,174508
58,1519,8197,1,0,2,0,3,620.0,218140
59,1520,8050,1,0,1,0,3,308.0,138257
60,1521,10725,0,0,1,0,3,312.0,104695
61,1522,10032,1,0,1,1,3,440.0,177141
62,1523,8382,0,0,1,0,3,263.0,101734
63,1524,10950,0,1,1,0,2,318.0,127539
64,1525,10895,0,0,1,0,3,305.0,104910
65,1526,13587,1,0,1,0,2,264.0,152033
66,1527,7898,0,1,1,0,2,676.0,123682
67,1528,8064,1,0,1,0,3,280.0,138275
68,1529,7635,0,0,1,1,3,484.0,137169
69,1530,9760,1,0,1,0,2,440.0,147196
70,1531,4800,1,0,1,0,3,240.0,134150
71,1532,4485,1,0,1,0,2,0.0,140529
72,1533,5805,1,1,1,0,3,551.0,151202
73,1534,6900,0,0,1,0,3,240.0,99861
74,1535,11851,0,0,1,0,3,240.0,106118
75,1536,8239,0,0,1,0,3,315.0,101553
76,1537,9656,0,0,1,0,2,780.0,110122
77,1538,9600,0,0,2,0,3,288.0,182970
78,1539,9000,0,0,3,0,3,624.0,261909
79,1540,9045,0,0,2,0,4,0.0,175491
80,1541,10560,0,0,1,1,2,624.0,147643
81,1542,5830,0,0,1,1,3,363.0,134888
82,1543,7793,0,0,1,1,3,315.0,137369
83,1544,5000,1,0,1,0,2,200.0,141180
84,1545,6000,1,0,1,0,2,240.0,142444
85,1546,6000,0,1,1,1,3,576.0,150884
86,1547,6360,0,0,1,1,3,240.0,135558
87,1548,6000,0,0,1,1,3,312.0,135103
88,1549,6240,0,0,1,0,2,624.0,105805
89,1550,6240,0,0,2,0,4,480.0,171946
90,1551,6120,1,0,1,0,2,288.0,142596
91,1552,8094,0,0,1,1,4,572.0,130972
92,1553,12900,0,0,1,1,3,0.0,143823
93,1554,3068,0,1,1,0,3,180.0,110800
94,1555,15263,0,0,2,0,3,365.0,190128
95,1556,10632,0,0,1,1,3,180.0,140957
96,1557,9900,1,0,1,0,3,0.0,140596
97,1558,6001,0,0,1,0,3,231.0,98725
98,1559,6449,0,0,1,1,4,0.0,128893
99,1560,6048,1,0,2,0,2,450.0,222202
100,1561,10773,2,0,2,0,4,0.0,251561
101,1562,7800,1,0,1,0,3,416.0,137941
102,1563,7832,1,0,1,0,2,280.0,144759
103,1564,7424,1,0,1,0,3,591.0,137466
104,1565,11227,0,0,1,1,4,480.0,134931
105,1566,20062,1,0,1,1,1,690.0,203373
106,1567,9259,0,0,1,0,2,440.0,109620
107,1568,17082,1,0,2,1,4,522.0,258971
108,1569,18600,0,1,2,0,4,480.0,203349
109,1570,11479,1,0,1,0,3,467.0,142591
110,1571,9350,0,0,1,0,3,209.0,102958
111,1572,9525,1,0,1,0,3,366.0,140122
112,1573,17485,1,0,1,0,1,572.0,163737
113,1574,11200,0,0,2,0,3,504.0,184993
114,1575,11980,1,0,1,1,1,528.0,193158
115,1576,12361,0,1,2,1,3,1017.0,238620
116,1577,7360,0,0,2,0,2,615.0,186917
117,1578,14235,0,0,2,0,3,484.0,188828
118,1579,11105,1,0,1,0,2,580.0,148896
119,1580,9337,0,0,2,1,3,513.0,219017
120,1581,15240,1,0,1,1,3,308.0,183724
121,1582,7480,1,0,1,0,3,484.0,137537
122,1583,10389,1,0,2,1,3,850.0,257289
123,1584,9375,0,0,2,1,4,621.0,212287
124,1585,4435,1,0,1,0,1,420.0,147244
125,1586,8777,0,0,1,0,2,240.0,109011
126,1587,8842,0,0,1,0,3,319.0,102316
127,1588,10044,1,0,1,0,3,336.0,140778
128,1589,11792,0,0,1,0,2,480.0,112821
129,1590,6305,1,0,1,0,3,352.0,136052
130,1591,6410,0,0,1,0,3,0.0,99242
131,1592,4853,0,0,2,0,2,260.0,183748
132,1593,7890,1,0,1,0,2,399.0,144833
133,1594,7200,0,0,3,0,6,0.0,239301
134,1595,9839,1,0,1,0,3,0.0,140518
135,1596,10452,1,0,1,1,4,312.0,170895
136,1597,15600,0,0,2,1,5,484.0,213377
137,1598,19645,1,0,2,1,3,473.0,268988
138,1599,3907,1,0,1,0,1,598.0,146576
139,1600,3907,0,0,2,0,2,531.0,182553
140,1601,8154,0,0,1,0,1,200.0,115001
141,1602,9140,0,0,1,0,2,625.0,109470
142,1603,8712,0,0,1,0,3,330.0,102151
143,1604,3811,1,1,2,0,2,525.0,235156
144,1605,11050,1,0,2,1,3,741.0,258125
145,1606,9620,0,1,2,0,3,473.0,198777
146,1607,12760,0,0,3,0,5,776.0,253106
147,1608,11896,1,0,2,0,3,660.0,222815
148,1609,9803,0,0,2,0,2,520.0,190005
149,1610,9802,0,0,2,1,3,400.0,219605
150,1611,15300,1,0,1,0,2,528.0,154198
151,1612,10114,0,0,2,0,3,624.0,183620
152,1613,11875,0,0,2,0,3,686.0,185846
153,1614,2394,1,1,1,0,2,253.0,153668
154,1615,1476,0,0,1,1,3,0.0,129385
155,1616,1900,0,0,1,1,3,0.0,129921
156,1617,1890,0,0,1,1,3,286.0,129908
157,1618,6953,0,0,1,0,3,352.0,99928
158,1619,12887,1,0,1,0,2,495.0,151148
159,1620,7700,0,0,4,2,4,616.0,405943
160,1621,10475,0,0,1,1,3,576.0,140758
161,1622,10544,0,0,2,0,5,275.0,170608
162,1623,9892,1,1,2,1,3,482.0,272443
163,1624,12961,1,0,2,1,3,616.0,260540
164,1625,13008,0,0,1,0,2,502.0,114358
165,1626,10200,1,0,2,0,4,528.0,213894
166,1627,10179,0,0,2,1,3,470.0,220081
167,1628,11792,0,0,2,1,4,632.0,215342
168,1629,8400,0,0,2,1,3,390.0,217833
169,1630,7296,1,0,2,0,1,564.0,230556
170,1631,7380,1,0,2,0,2,495.0,223885
171,1632,8013,1,0,2,0,2,528.0,224685
172,1633,8923,0,0,2,1,3,396.0,218494
173,1634,7500,1,0,2,1,3,440.0,253638
174,1635,8803,1,0,2,1,3,409.0,255285
175,1636,7250,0,0,2,0,3,430.0,180000
176,1637,11900,1,0,2,1,3,567.0,259199
177,1638,13250,0,0,2,1,4,529.0,217185
178,1639,10928,0,0,2,0,3,484.0,184649
179,1640,12388,0,0,2,1,4,441.0,216095
180,1641,11088,0,0,2,0,3,479.0,184851
181,1642,7000,1,0,2,1,3,581.0,253006
182,1643,7500,0,0,2,1,3,588.0,216695
183,1644,8470,0,0,2,1,3,565.0,217921
184,1645,9373,1,0,2,0,3,478.0,219626
185,1646,10140,1,0,2,0,3,528.0,220596
186,1647,11050,0,0,2,0,3,506.0,184803
187,1648,7830,0,0,1,1,2,477.0,144193
188,1649,8510,1,0,1,1,3,336.0,175218
189,1650,7038,1,0,1,0,3,576.0,136978
190,1651,9000,0,0,1,0,3,576.0,102515
191,1652,1680,1,0,1,1,2,264.0,173363
192,1653,1680,1,0,1,1,2,288.0,173363
193,1654,2308,0,0,2,1,3,440.0,210133
194,1655,2280,0,1,2,0,2,440.0,196278
195,1656,2349,0,0,2,1,3,440.0,210185
196,1657,2364,0,1,2,1,3,440.0,225986
197,1658,2364,0,0,2,1,3,440.0,210204
198,1659,2104,0,1,1,0,2,345.0,116359
199,1660,10710,0,1,1,0,3,656.0,120458
200,1661,14257,1,0,3,1,4,754.0,335097
201,1662,12350,1,0,2,1,3,864.0,259768
202,1663,12350,1,0,2,0,3,896.0,223389
203,1664,13693,2,0,2,1,2,762.0,305186
204,1665,11578,0,0,2,0,3,834.0,185470
205,1666,16870,1,0,2,0,3,932.0,229101
206,1667,23303,1,0,2,1,5,640.0,260056
207,1668,10367,1,0,2,0,3,927.0,220883
208,1669,10872,1,0,2,0,2,700.0,228298
209,1670,13514,1,0,2,0,3,850.0,224860
210,1671,12878,1,0,2,0,3,583.0,224056
211,1672,15274,2,0,2,0,3,886.0,264027
212,1673,13262,0,0,3,1,4,730.0,296897
213,1674,9658,0,0,2,0,3,871.0,183044
214,1675,6904,0,0,2,0,2,484.0,186341
215,1676,5122,1,0,2,0,1,624.0,227809
216,1677,10307,1,0,2,0,2,484.0,227584
217,1678,14836,1,0,2,1,2,949.0,269687
218,1679,15262,1,0,2,1,3,685.0,263448
219,1680,7390,1,0,2,0,2,649.0,223898
220,1681,6472,0,0,2,0,2,539.0,185795
221,1682,16770,1,0,2,0,3,701.0,228975
222,1683,3480,0,0,2,0,2,478.0,182013
223,1684,10928,0,0,2,1,3,390.0,221028
224,1685,8918,0,0,2,1,3,392.0,218487
225,1686,3182,0,0,2,0,2,397.0,181637
226,1687,9434,0,0,2,1,3,400.0,219140
227,1688,7984,0,0,2,1,3,436.0,217307
228,1689,10125,0,0,2,1,3,434.0,220013
229,1690,8965,1,0,2,1,3,400.0,255490
230,1691,8174,1,0,2,1,3,393.0,254490
231,1692,12891,1,0,2,1,4,644.0,253674
232,1693,9734,0,0,2,1,3,400.0,219519
233,1694,8433,1,0,2,1,3,394.0,254817
234,1695,7750,0,0,2,1,3,400.0,217011
235,1696,15896,1,0,2,1,4,658.0,257472
236,1697,7848,0,0,2,1,3,410.0,217135
237,1698,12720,1,0,2,1,4,810.0,253458
238,1699,10750,1,0,2,0,3,815.0,221367
239,1700,9085,1,0,2,1,3,647.0,255641
240,1701,11692,1,0,2,1,3,623.0,258936
241,1702,11194,0,0,2,0,3,972.0,184985
242,1703,10206,0,0,2,1,3,726.0,220115
243,1704,10130,1,0,2,0,3,844.0,220583
244,1705,9139,0,0,2,0,3,492.0,182388
245,1706,11128,1,0,2,0,2,795.0,228622
246,1707,7993,0,0,2,0,3,529.0,180939
247,1708,8640,0,0,2,0,3,625.0,181757
248,1709,12606,0,0,2,0,3,984.0,186770
249,1710,7500,0,0,2,0,2,692.0,187094
250,1711,10603,1,0,2,1,3,782.0,257560
251,1712,8125,0,0,2,0,3,517.0,181106
252,1713,10625,1,0,2,0,3,711.0,221209
253,1714,8736,1,0,2,0,3,588.0,218821
254,1715,8127,1,0,2,1,3,628.0,254431
255,1716,9605,0,0,1,1,3,576.0,139659
256,1717,7500,1,0,1,1,3,484.0,173941
257,1718,7500,0,0,1,1,3,0.0,136998
258,1719,10628,0,0,2,1,3,478.0,220649
259,1720,10141,0,0,2,0,3,845.0,183654
260,1721,13072,0,0,1,1,3,576.0,144041
261,1722,13072,0,0,1,1,3,0.0,144041
262,1723,12450,1,0,2,0,3,576.0,223515
263,1724,7328,0,0,2,0,2,788.0,186876
264,1725,11492,1,0,2,1,4,559.0,251906
265,1726,7703,0,0,2,1,3,528.0,216952
266,1727,7175,0,0,2,0,2,542.0,186683
267,1728,9109,1,0,2,1,3,495.0,255672
268,1729,10274,0,0,2,1,3,465.0,220201
269,1730,8250,0,0,2,0,4,612.0,174487
270,1731,9750,1,0,1,0,3,400.0,140406
271,1732,8499,1,0,1,0,3,732.0,138825
272,1733,9079,0,0,1,0,2,440.0,109393
273,1734,9316,0,0,2,0,3,288.0,182611
274,1735,7791,1,0,1,0,3,300.0,137930
275,1736,7150,0,1,1,0,3,252.0,115959
276,1737,15676,1,0,2,0,2,864.0,234370
277,1738,11949,0,1,2,1,3,524.0,238100
278,1739,2880,0,0,2,1,3,704.0,210856
279,1740,3830,0,0,2,1,2,561.0,218835
280,1741,4217,1,0,1,1,1,641.0,183347
281,1742,2998,1,0,2,1,2,440.0,254726
282,1743,3768,1,0,2,1,3,506.0,248921
283,1744,14694,1,0,2,0,2,642.0,233129
284,1745,15417,0,0,1,1,2,540.0,153782
285,1746,9600,0,0,2,1,4,527.0,212572
286,1747,12732,0,0,2,1,3,784.0,223308
287,1748,10400,0,0,2,1,5,515.0,206805
288,1749,9600,0,1,2,0,3,502.0,198752
289,1750,9000,1,0,1,0,3,336.0,139458
290,1751,13774,0,0,1,2,4,520.0,174529
291,1752,7130,0,1,1,0,2,312.0,122711
292,1753,9600,0,0,1,1,3,440.0,139653
293,1754,9600,0,1,2,1,4,498.0,228353
294,1755,16500,0,1,2,0,3,495.0,207473
295,1756,7436,1,0,1,0,2,396.0,144259
296,1757,8125,0,0,1,0,3,308.0,101409
297,1758,9450,1,0,1,0,3,768.0,140027
298,1759,13495,1,0,2,0,3,576.0,224836
299,1760,9350,1,0,1,1,3,610.0,176279
300,1761,10500,1,0,1,1,3,520.0,177733
301,1762,8970,0,0,2,1,4,549.0,211776
302,1763,11475,1,0,1,0,4,368.0,135809
303,1764,9768,1,0,1,0,2,330.0,147206
304,1765,9900,1,0,1,0,2,550.0,147373
305,1766,10573,1,0,2,0,3,530.0,221143
306,1767,14695,1,0,2,0,2,542.0,233130
307,1768,8760,1,0,1,0,3,286.0,139155
308,1769,12285,0,0,1,1,3,441.0,143046
309,1770,9240,1,0,2,0,3,297.0,219458
310,1771,8750,0,1,1,0,3,304.0,117981
311,1772,8750,0,1,1,0,3,350.0,117981
312,1773,10400,1,0,1,0,3,294.0,141227
313,1774,9482,0,0,2,0,4,495.0,176044
314,1775,8128,1,0,1,0,3,297.0,138356
315,1776,13070,0,0,1,0,2,480.0,114437
316,1777,8480,1,0,1,0,2,240.0,145578
317,1778,7626,1,0,1,0,2,230.0,144499
318,1779,9533,0,0,1,1,2,616.0,146345
319,1780,11419,1,0,1,1,3,410.0,178894
320,1781,9600,0,0,1,0,3,246.0,103274
321,1782,5470,0,0,1,0,2,366.0,104831
322,1783,10800,0,1,2,0,4,720.0,193491
323,1784,8146,0,0,1,0,2,281.0,108213
324,1785,10230,0,0,1,0,3,264.0,104070
325,1786,10410,0,0,2,0,3,528.0,183994
326,1787,7200,0,0,2,0,4,624.0,173160
327,1788,5400,1,0,1,0,2,0.0,141686
328,1789,10800,0,0,1,0,2,576.0,111568
329,1790,10800,0,0,1,1,1,320.0,154724
330,1791,9671,0,0,2,2,6,907.0,235486
331,1792,10143,0,0,1,1,3,364.0,140339
332,1793,11500,1,0,1,0,3,480.0,142618
333,1794,8010,1,0,1,0,2,480.0,144984
334,1795,10454,0,0,1,0,3,308.0,104353
335,1796,9000,0,0,1,0,2,384.0,109293
336,1797,8064,0,0,1,0,3,900.0,101332
337,1798,7350,0,0,1,0,3,294.0,100430
338,1799,7200,1,0,1,0,2,240.0,143961
339,1800,8000,1,0,1,0,3,288.0,138194
340,1801,10800,0,0,2,0,4,384.0,177709
341,1802,8064,0,0,1,0,3,576.0,101332
342,1803,7570,0,0,1,1,4,483.0,130309
343,1804,8604,1,0,1,0,2,564.0,145735
344,1805,7936,1,0,1,0,3,264.0,138113
345,1806,4080,0,0,1,0,3,162.0,96297
346,1807,10307,1,0,2,0,4,324.0,214029
347,1808,15660,0,0,1,1,3,472.0,147312
348,1809,9900,0,0,2,0,3,0.0,183350
349,1810,6406,0,0,1,1,3,400.0,135616
350,1811,7627,0,0,2,0,4,0.0,173699
351,1812,10134,0,0,1,0,3,0.0,103948
352,1813,6000,0,0,1,1,3,308.0,135103
353,1814,7404,0,0,1,0,2,288.0,107276
354,1815,5925,0,0,1,0,1,308.0,112184
355,1816,8520,0,0,1,0,2,287.0,108686
356,1817,9600,0,0,2,0,3,720.0,182970
357,1818,8400,0,0,2,0,3,357.0,181454
358,1819,3600,1,0,1,0,3,280.0,132633
359,1820,3300,0,0,1,0,2,0.0,102089
360,1821,5400,0,0,1,0,3,207.0,97965
361,1822,9720,0,0,1,0,4,640.0,96648
362,1823,9392,0,0,1,0,2,0.0,109788
363,1824,6615,0,0,1,0,3,216.0,99501
364,1825,4960,0,0,2,0,3,336.0,177106
365,1826,6000,0,0,1,0,3,320.0,98724
366,1827,6120,0,0,1,0,2,264.0,105653
367,1828,6120,0,0,2,0,3,250.0,178572
368,1829,8635,1,0,1,0,2,1184.0,145774
369,1830,8094,0,0,2,0,3,576.0,181067
370,1831,9928,0,0,2,0,3,216.0,183385
371,1832,3000,0,0,2,0,4,0.0,167851
372,1833,6876,1,0,2,0,4,316.0,209693
373,1834,5775,0,0,1,0,3,379.0,98439
374,1835,5852,0,0,2,1,6,0.0,194280
375,1836,5160,0,0,1,0,3,384.0,97662
376,1837,5160,1,0,1,0,1,0.0,148160
377,1838,10320,1,0,1,1,3,308.0,177505
378,1839,4280,0,1,1,0,2,220.0,119109
379,1840,10800,3,0,3,0,3,0.0,375012
380,1841,10547,2,0,2,0,2,252.0,264830
381,1842,9780,1,0,2,0,4,226.0,213363
382,1843,11625,0,0,1,1,3,668.0,142212
383,1844,8014,0,1,1,0,3,504.0,117051
384,1845,15400,0,0,2,0,4,384.0,183523
385,1846,15312,0,1,1,0,3,480.0,126274
386,1847,15584,0,1,1,1,4,336.0,156219
387,1848,9000,0,0,1,0,2,0.0,109293
388,1849,15635,0,0,1,0,2,498.0,117678
389,1850,9571,1,0,1,0,2,340.0,146957
390,1851,9350,0,0,1,1,3,240.0,139337
391,1852,7440,1,0,1,0,3,252.0,137486
392,1853,4235,1,0,2,0,2,266.0,219910
393,1854,10778,1,0,1,1,1,462.0,191639
394,1855,19255,0,0,1,1,2,576.0,158633
395,1856,10560,1,0,2,1,3,473.0,257506
396,1857,26400,0,0,1,0,4,576.0,117729
397,1858,7018,0,0,2,0,6,720.0,159374
398,1859,7018,0,0,2,0,4,400.0,172930
399,1860,7040,2,0,0,2,2,672.0,173762
400,1861,7007,0,0,2,0,4,400.0,172916
401,1862,11855,2,0,4,2,6,820.0,471525
402,1863,7939,2,0,4,2,6,820.0,466576
403,1864,7976,2,0,4,2,6,820.0,466623
404,1865,10933,1,0,1,1,1,1138.0,191835
405,1866,10816,1,0,2,0,3,846.0,221450
406,1867,9178,0,0,2,0,3,904.0,182437
407,1868,11422,1,0,2,0,3,524.0,222216
408,1869,6762,1,0,2,0,2,662.0,223104
409,1870,10324,1,0,2,0,2,810.0,227606
410,1871,11645,0,0,2,0,3,844.0,185555
411,1872,11646,0,0,2,1,3,440.0,221935
412,1873,16698,1,0,2,1,3,525.0,265263
413,1874,9757,1,0,1,0,3,440.0,140415
414,1875,14753,1,0,2,0,3,539.0,226426
415,1876,8750,1,0,2,1,3,492.0,255218
416,1877,10739,1,0,2,0,3,577.0,221353
417,1878,11166,0,0,2,0,3,608.0,184950
418,1879,16269,0,0,1,0,3,343.0,111702
419,1880,6950,1,0,1,0,2,444.0,143645
420,1881,11664,1,0,2,0,3,1231.0,222522
421,1882,12334,0,0,2,1,4,570.0,216027
422,1883,8749,0,0,2,1,3,550.0,218274
423,1884,11250,0,0,2,1,3,608.0,221435
424,1885,15750,1,0,2,0,2,521.0,234463
425,1886,12782,1,0,2,0,3,523.0,223935
426,1887,8750,1,0,2,0,3,511.0,218839
427,1888,10200,1,0,2,0,3,810.0,220672
428,1889,11069,0,0,2,1,3,440.0,221206
429,1890,10682,1,0,1,0,3,544.0,141584
430,1891,3675,1,0,1,0,2,525.0,139506
431,1892,6410,0,0,1,0,3,320.0,99242
432,1893,11767,1,0,1,0,3,195.0,142955
433,1894,10926,0,0,2,0,6,0.0,164314
434,1895,11767,0,0,1,0,2,313.0,112790
435,1896,8212,0,0,1,0,3,256.0,101519
436,1897,6300,0,0,1,1,3,250.0,135482
437,1898,5707,0,0,1,1,3,180.0,134732
438,1899,8574,0,0,1,0,3,440.0,101977
439,1900,7155,0,0,1,0,3,215.0,100183
440,1901,13680,1,0,1,1,2,440.0,188529
441,1902,14680,0,0,1,0,2,307.0,116471
442,1903,8145,0,0,2,1,5,400.0,203955
443,1904,9100,1,0,1,0,2,390.0,146362
444,1905,13339,1,0,2,0,3,463.0,224639
445,1906,15600,1,0,2,0,3,295.0,227496
446,1907,17500,1,0,1,1,3,576.0,186580
447,1908,1733,0,0,1,0,2,452.0,100108
448,1909,1488,1,0,1,1,2,462.0,173121
449,1910,1612,0,0,1,1,2,462.0,136334
450,1911,13607,1,0,2,1,3,501.0,261357
451,1912,17597,1,0,2,0,3,551.0,230020
452,1913,8660,0,0,2,0,5,576.0,168227
453,1914,10200,0,0,1,0,2,200.0,110809
454,1915,3843,1,1,2,0,2,482.0,235196
455,1916,21780,0,0,1,0,1,280.0,132222
456,1917,10125,0,0,2,1,3,642.0,220013
457,1918,9750,1,0,1,0,2,351.0,147184
458,1919,9360,1,0,1,1,2,541.0,183070
459,1920,11070,1,0,2,0,2,672.0,228549
460,1921,13438,1,0,2,0,3,780.0,224764
461,1922,14463,1,0,2,0,3,885.0,226059
462,1923,9839,0,0,2,1,3,440.0,219651
463,1924,14419,2,0,2,1,3,578.0,299326
464,1925,9157,0,0,2,1,3,486.0,218790
465,1926,12633,1,0,2,0,2,920.0,230524
466,1927,12518,0,0,1,0,3,384.0,106961
467,1928,13383,0,0,2,0,3,504.0,187752
468,1929,7689,0,1,1,0,2,336.0,123417
469,1930,7706,0,1,1,0,2,429.0,123439
470,1931,7669,1,0,1,0,2,698.0,144553
471,1932,10429,0,0,1,1,3,440.0,140700
472,1933,10457,0,0,1,1,4,898.0,133958
473,1934,8702,0,0,2,1,3,470.0,218214
474,1935,8139,0,0,2,1,3,420.0,217503
475,1936,9535,0,0,2,1,3,472.0,219267
476,1937,15038,0,0,2,1,3,386.0,226222
477,1938,14137,1,0,2,0,3,404.0,225647
478,1939,6264,1,0,1,1,1,528.0,185934
479,1940,5070,0,0,2,0,2,506.0,184023
480,1941,11184,0,0,2,1,3,460.0,221351
481,1942,14067,1,0,2,1,3,416.0,261938
482,1943,5950,1,0,2,0,2,462.0,222078
483,1944,13543,0,0,3,1,5,683.0,290475
484,1945,15401,1,0,2,0,2,670.0,234022
485,1946,31220,0,0,1,0,3,495.0,130598
486,1947,8118,1,0,2,0,2,557.0,224818
487,1948,47280,0,0,2,1,3,738.0,266972
488,1949,12680,1,0,2,0,2,528.0,230583
489,1950,10825,1,0,2,0,3,598.0,221461
